trade_id,BioGuideID,Name,Party,Chamber,Ticker,trade_date,Transaction,Trade_Size_USD,sector,anomaly_if,anomaly_svm,anomaly_lof_contextual,anomaly_collective,anomaly_vote_count,anomaly_consensus_2,anomaly_score_ensemble,car_ff3_30d,car_ff3_60d,car_ff3_90d
28446,F000450,Virginia Foxx,R,House,ARLP,2023-02-15,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.19064160503610314,0.07247039917112136,0.11219707700488801,0.03522466627222459
28441,F000450,Virginia Foxx,R,House,FLNG,2023-02-15,Purchase,"$1,001 - $15,000",Energy,0,0,0,0,0,0,0.245121517265785,0.08072969668845584,0.03410525363028463,-0.023804034588158433
28433,F000450,Virginia Foxx,R,House,TAK,2023-02-16,Purchase,"$1,001 - $15,000",Healthcare,0,0,0,0,0,0,0.10481231963100848,0.06528121573124734,0.04751653031583881,-0.022373815632058425
28423,F000450,Virginia Foxx,R,House,CF,2023-02-16,Sale,"$15,001 - $50,000",Basic Materials,0,0,0,0,0,0,0.11001587332917233,-0.02815762380742376,-0.07589620683479176,-0.04433883389146187
28296,F000450,Virginia Foxx,R,House,BCC,2023-02-24,Purchase,"$15,001 - $50,000",Basic Materials,0,0,0,0,0,0,0.15389989863072115,0.02668091998164629,0.2414405526867191,0.4232852021440252
28135,F000450,Virginia Foxx,R,House,GSK,2023-03-01,Sale,"$50,001 - $100,000",Healthcare,0,0,0,0,0,0,0.13700895372612265,0.073843057385169,-0.03134471533444279,-0.045022262992264556
28094,F000450,Virginia Foxx,R,House,K,2023-03-01,Sale,"$50,001 - $100,000",Consumer Defensive,0,0,0,0,0,0,0.14423617183938572,-0.020017618376523723,-0.02008345622631745,-0.01033636782148361
28082,F000450,Virginia Foxx,R,House,PFF,2023-03-02,Sale,"$50,001 - $100,000",,0,0,0,0,0,0,0.13146974806936526,-0.016909111539173603,-0.049581197049797084,-0.07029223562547579
28078,F000450,Virginia Foxx,R,House,BCC,2023-03-02,Purchase,"$1,001 - $15,000",Basic Materials,0,0,0,0,0,0,0.12150980460669529,0.12249886994827366,0.3258400019908805,0.5801794204355933
27893,F000450,Virginia Foxx,R,House,BCC,2023-03-07,Sale,"$15,001 - $50,000",Basic Materials,0,0,0,0,0,0,0.10021882980474238,0.14179906992522315,0.3264985018448239,0.5659059227690324
