trade_id,BioGuideID,Name,Ticker,trade_date,Transaction,anomaly_political_if,anomaly_political_svm,anomaly_political_lof,anomaly_political_consensus,score_political_if
39367,K000389,Ro Khanna,ILMN,2022-01-07,Purchase,0,0,0,0,0.3846067229100016
39365,K000389,Ro Khanna,PYPL,2022-01-07,Purchase,1,0,0,0,0.5836367982524616
39360,K000389,Ro Khanna,MTCH,2022-01-07,Purchase,0,0,0,0,0.4460678022797173
39343,K000389,Ro Khanna,WDAY,2022-01-07,Purchase,0,0,0,0,0.3846067229100016
39371,K000389,Ro Khanna,V,2022-01-07,Sale,0,0,0,0,0.4586723377340181
39357,K000389,Ro Khanna,ALGN,2022-01-07,Sale,0,0,0,0,0.3846067229100016
39366,K000389,Ro Khanna,AXP,2022-01-07,Purchase,0,0,0,0,0.3846067229100016
39346,K000389,Ro Khanna,SNAP,2022-01-07,Purchase,0,0,0,0,0.47499576152483125
39359,K000389,Ro Khanna,NVDA,2022-01-07,Sale,0,0,0,0,0.3971766022846988
39355,K000389,Ro Khanna,VSAT,2022-01-07,Purchase,0,0,0,0,0.3846067229100016
39368,K000389,Ro Khanna,NFLX,2022-01-07,Purchase,0,0,0,0,0.4958079472725447
39338,K000389,Ro Khanna,GOOGL,2022-01-09,Sale,0,0,0,0,0.4382545146254337
39305,K000389,Ro Khanna,BAC,2022-01-10,Purchase,0,0,0,0,0.41389417441367676
39322,K000389,Ro Khanna,FIS,2022-01-10,Purchase,0,0,0,0,0.354721562421489
39327,K000389,Ro Khanna,APTV,2022-01-10,Purchase,0,0,0,0,0.35285580099351765
39306,K000389,Ro Khanna,RMD,2022-01-10,Purchase,0,0,0,0,0.354721562421489
39316,K000389,Ro Khanna,PPG,2022-01-10,Purchase,0,0,0,0,0.419284906109881
39304,K000389,Ro Khanna,FTV,2022-01-10,Purchase,0,0,0,0,0.354721562421489
39294,K000389,Ro Khanna,PFE,2022-01-10,Purchase,0,0,0,0,0.5333560137173411
